round,weight_category,fighter_a_country,fighter_a,score,method,fighter_b,fighter_b_country,winner,event_name,start_date,end_date
F,Men -58kg,KOR,PARK Tae-Joon,1:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -58kg,KOR,BAE Jun-Seo,2:0,PTF,SEO Eunsu,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -58kg,ITA,DELL'AQUILA Vito,1:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,JPN,MAEDA Hidetaka,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,JOR,ALDAOUD Ja'afar,1:2,PTF,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,ITA,DELL'AQUILA Vito,2:0,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -58kg,KOR,BAE Jun-Seo,2:0,PTF,TESKERA Josip,CRO,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,ESP,FRAILE RODRIGUEZ Jesus,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,CAN,HOEFLING Nicholas,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,IRI,ZANDI Abolfazl,1:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,AZE,MAGOMEDOV Gashim,1:2,PTF,ALDAOUD Ja'afar,JOR,ALDAOUD Ja'afar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,IRI,RAZMIAN Mehdi,1:2,PTF,TESKERA Josip,CRO,TESKERA Josip,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,ITA,CONTI Andrea,1:2,PTF,MAEDA Hidetaka,JPN,MAEDA Hidetaka,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,GRE,PSARROS Aristeidis Nikolaos,0:2,PTF,DELL'AQUILA Vito,ITA,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -58kg,CHN,HUANG Kefen,1:2,PTF,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,ESP,AGENJO TRIGOS Jairo,0:2,PTF,CONTI Andrea,ITA,CONTI Andrea,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,USA,GUN Youngsuk Ethan,0:2,PTF,ASEM ATA ABU SREE' Moataz Bellah,EGY,ASEM ATA ABU SREE' Moataz Bellah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BRA,GILLIARD GONCALVES Matheus,0:2,PTF,ALDAOUD Ja'afar,JOR,ALDAOUD Ja'afar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BUL,GEORGIEV Hristiyan,0:2,PTF,HUANG Kefen,CHN,HUANG Kefen,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CAN,BRINDAMOHAN Nithan,0:2,PTF,PARK Tae-Joon,KOR,PARK Tae-Joon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,ITA,DELL'AQUILA Vito,2:0,PTF,ROSCA Artiom,MDA,DELL'AQUILA Vito,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,IRI,ZANDI Abolfazl,2:0,PTF,HAMDI Riad Nasser A,KSA,ZANDI Abolfazl,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,KOR,AN Hyang Sik,0:2,WDR,SEO Eunsu,KOR,SEO Eunsu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,AZE,MAGOMEDOV Gashim,2:0,PTF,ALMUSHRAF Abdullah Essa A,KSA,MAGOMEDOV Gashim,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,BRA,MELO Paulo,1:2,PTF,FRAILE RODRIGUEZ Jesus,ESP,FRAILE RODRIGUEZ Jesus,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CAN,HOEFLING Nicholas,2:1,PTF,MOLJ Domen,SLO,HOEFLING Nicholas,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,JPN,MAEDA Hidetaka,2:0,PTF,MANENKOV Maksym,UKR,MAEDA Hidetaka,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,GRE,DIMITROPOULOS Konstantinos,0:2,PTF,BAE Jun-Seo,KOR,BAE Jun-Seo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,IRI,RAZMIAN Mehdi,2:1,PTF,PAN Kuei-An,TPE,RAZMIAN Mehdi,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -58kg,CRO,TESKERA Josip,2:1,PTF,GURTSIEV Georgii,BLR,TESKERA Josip,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
F,Men -68kg,CRO,GOLUBIC Marko,0:2,PTF,MUN Jinho,KOR,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -68kg,KOR,MUN Jinho,2:1,PTF,VYKOV Amir,RUS,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -68kg,USA,RODRIGUEZ Maikol,0:2,PTF,GOLUBIC Marko,CRO,GOLUBIC Marko,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -68kg,BRA,PONTES Edival,1:2,PTF,RODRIGUEZ Maikol,USA,RODRIGUEZ Maikol,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -68kg,CRO,GOLUBIC Marko,2:1,PTF,LIANG Yushuai,CHN,GOLUBIC Marko,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -68kg,RUS,VYKOV Amir,2:0,PTF,SEONG Yuhyeon,KOR,VYKOV Amir,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -68kg,GRE,PANAGOPOULOS Apostolos,0:2,PTF,MUN Jinho,KOR,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,FRA,LUCIEN Theo,1:2,PTF,VYKOV Amir,RUS,VYKOV Amir,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,KOR,SEONG Yuhyeon,2:1,PTF,JUNG Woo-Hyeok,KOR,SEONG Yuhyeon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,USA,RODRIGUEZ Maikol,2:0,PTF,BORGEN Kristian Storsul,NOR,RODRIGUEZ Maikol,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,POL,CHRZANOWSKI Mateusz,0:2,PTF,MUN Jinho,KOR,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,GRE,PANAGOPOULOS Apostolos,2:0,PTF,VALDES VAZQUEZ David,MEX,PANAGOPOULOS Apostolos,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,HUN,SALIM Omar Gergely,0:2,PTF,LIANG Yushuai,CHN,LIANG Yushuai,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,CRO,GOLUBIC Marko,2:1,PTF,CREP Matija,CRO,GOLUBIC Marko,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -68kg,BRA,PONTES Edival,2:0,PTF,ALHALAWANI Zaid,JOR,PONTES Edival,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,FRA,LUCIEN Theo,2:0,PTF,MUHAMMAD FATHY Omar,EGY,LUCIEN Theo,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,UKR,BYSTROV Volodymyr,1:2,PTF,CREP Matija,CRO,CREP Matija,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,GRE,FLOUSKOUNIS Charalampos,0:2,PTF,VYKOV Amir,RUS,VYKOV Amir,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,KOR,JUNG Woo-Hyeok,2:0,PTF,JANG Jun,KOR,JUNG Woo-Hyeok,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,GBR,HOWELL Matthew,0:2,PTF,ALHALAWANI Zaid,JOR,ALHALAWANI Zaid,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,BUL,MITKOV Stanislav,0:2,PTF,CHRZANOWSKI Mateusz,POL,CHRZANOWSKI Mateusz,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,JOR,KAREEM Zaid,0:2,PTF,PANAGOPOULOS Apostolos,GRE,PANAGOPOULOS Apostolos,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,KOR,MUN Jinho,2:0,PTF,VICENTE YUNTA Adrian,ESP,MUN Jinho,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,FRA,RAVET Cyrian,1:2,PTF,VALDES VAZQUEZ David,MEX,VALDES VAZQUEZ David,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,RUS,ABDUSALAMOV Magomed,0:2,PTF,GOLUBIC Marko,CRO,GOLUBIC Marko,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,BIH,HUSIC Benjamin,0:2,PTF,LIANG Yushuai,CHN,LIANG Yushuai,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,KOR,SEONG Yuhyeon,2:1,PTF,MAIGA Ibrahim,BUR,SEONG Yuhyeon,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,ESP,JORQUERA CALA Joan,1:2,PTF,BORGEN Kristian Storsul,NOR,BORGEN Kristian Storsul,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,USA,RODRIGUEZ Maikol,2:0,PTF,SHULENOV Damir,KAZ,RODRIGUEZ Maikol,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -68kg,BRA,SOUZA DINIZ Joao Victor,0:2,PTF,SALIM Omar Gergely,HUN,SALIM Omar Gergely,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
F,Men -80kg,BLR,TURAVINAU Raman,2:0,PTF,NICKOLAS Cj,USA,TURAVINAU Raman,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -80kg,BRA,RODRIGUES FERNANDES Henrique Marques,1:2,PTF,TURAVINAU Raman,BLR,TURAVINAU Raman,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men -80kg,USA,YOUNG Isaiah,1:2,PTF,NICKOLAS Cj,USA,NICKOLAS Cj,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -80kg,BRA,RODRIGUES FERNANDES Henrique Marques,2:0,PTF,KOVACIC Oscar,CRO,RODRIGUES FERNANDES Henrique Marques,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -80kg,CHI,CHURCHILL MARTINEZ Joaquin,1:2,PTF,TURAVINAU Raman,BLR,TURAVINAU Raman,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -80kg,IRI,BAKHTIARI Amir Sina,1:2,PTF,NICKOLAS Cj,USA,NICKOLAS Cj,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men -80kg,USA,RODRIGUES Victor,0:2,PTF,YOUNG Isaiah,USA,YOUNG Isaiah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,BLR,TURAVINAU Raman,2:0,PTF,XIANG Qizhang,CHN,TURAVINAU Raman,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,MAR,ZARHOUTI Haitam,1:2,PTF,NICKOLAS Cj,USA,NICKOLAS Cj,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,JOR,ELSHARABATY Saleh,1:2,PTF,BAKHTIARI Amir Sina,IRI,BAKHTIARI Amir Sina,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,RUS,BUDIN Vladislav,1:2,PTF,KOVACIC Oscar,CRO,KOVACIC Oscar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,CHI,CHURCHILL MARTINEZ Joaquin,2:0,PTF,KINTSURASHVILI Zurab,GEO,CHURCHILL MARTINEZ Joaquin,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,USA,YOUNG Isaiah,2:0,PTF,MYTAREV Artem,RUS,YOUNG Isaiah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,BRA,RODRIGUES FERNANDES Henrique Marques,2:0,PTF,PAPADOPOULOS Ioannis,GRE,RODRIGUES FERNANDES Henrique Marques,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men -80kg,USA,RODRIGUES Victor,2:0,PTF,SAWADOGO Faysal,BUR,RODRIGUES Victor,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,BLR,TURAVINAU Raman,2:0,PTF,FERNANDEZ GARCIA Mikel,ESP,TURAVINAU Raman,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,CRO,HRGOTA Leon,1:2,PTF,KINTSURASHVILI Zurab,GEO,KINTSURASHVILI Zurab,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,JOR,ELSHARABATY Saleh,2:0,PTF,SIGURJONSSON Gudmundur Floki,ISL,ELSHARABATY Saleh,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,IRI,BARKHORDARI Mehran,1:2,PTF,YOUNG Isaiah,USA,YOUNG Isaiah,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,KAZ,BEKASSYL Yergesh,0:2,PTF,XIANG Qizhang,CHN,XIANG Qizhang,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,ESP,MILAN CANOVAS Juan Antonio,0:2,PTF,BAKHTIARI Amir Sina,IRI,BAKHTIARI Amir Sina,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,KOR,PARK Jae Won,0:2,PTF,BUDIN Vladislav,RUS,BUDIN Vladislav,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,TRT,MANSOURI Farzad,0:2,PTF,ZARHOUTI Haitam,MAR,ZARHOUTI Haitam,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,CHN,CAI Zhaoxun,1:2,PTF,KOVACIC Oscar,CRO,KOVACIC Oscar,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,CHI,CHURCHILL MARTINEZ Joaquin,2:0,PTF,MANGIONE Angelo,ITA,CHURCHILL MARTINEZ Joaquin,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,JPN,KATOH Takato,0:2,PTF,SAWADOGO Faysal,BUR,SAWADOGO Faysal,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,KOR,KANG Jaegwon,1:2,PTF,MYTAREV Artem,RUS,MYTAREV Artem,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men -80kg,CZE,SITTEK Tomas,0:2,PTF,PAPADOPOULOS Ioannis,GRE,PAPADOPOULOS Ioannis,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
F,Men +80kg,EGY,EISSA Seif,2:0,PTF,LARIN Vladislav,RUS,EISSA Seif,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men +80kg,EGY,EISSA Seif,2:1,PTF,THOLIOTIS Vasileios,GRE,EISSA Seif,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Men +80kg,RUS,LARIN Vladislav,2:1,PTF,SALIMI Arian,IRI,LARIN Vladislav,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men +80kg,GRE,THOLIOTIS Vasileios,2:1,PTF,CUNNINGHAM Caden,GBR,THOLIOTIS Vasileios,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men +80kg,EGY,EISSA Seif,2:0,PTF,GARCIA MARTINEZ Ivan,ESP,EISSA Seif,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men +80kg,KOR,PARK Woo Hyeok,1:2,PTF,LARIN Vladislav,RUS,LARIN Vladislav,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Men +80kg,IRI,SALIMI Arian,2:0,PTF,YAZDANI Mohammad Hossein,IRI,SALIMI Arian,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,ESP,TROITINO AMOEDO Sergio,0:2,PTF,CUNNINGHAM Caden,GBR,CUNNINGHAM Caden,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,ESP,GARCIA MARTINEZ Ivan,2:1,PTF,HEALY Jonathan,USA,GARCIA MARTINEZ Ivan,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,IRI,YAZDANI Mohammad Hossein,2:0,PTF,KANG Sanghyun,KOR,YAZDANI Mohammad Hossein,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,KOR,PARK Woo Hyeok,2:1,PTF,PLONIS Artsiom,BLR,PARK Woo Hyeok,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,RUS,LARIN Vladislav,2:1,PTF,HARBAR Artem,UKR,LARIN Vladislav,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,IRI,SALIMI Arian,2:0,PTF,SANSORES Carlos,MEX,SALIMI Arian,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,EGY,EISSA Seif,2:0,PTF,IFAOUI Motaz,TUN,EISSA Seif,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Men +80kg,ITA,MOLIN Mattia,0:2,PTF,THOLIOTIS Vasileios,GRE,THOLIOTIS Vasileios,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,UKR,HARBAR Andrii,1:2,PTF,THOLIOTIS Vasileios,GRE,THOLIOTIS Vasileios,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,IRI,SALIMI Arian,2:1,PTF,SAPINA Ivan,CRO,SALIMI Arian,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,ESP,TROITINO AMOEDO Sergio,2:1,PTF,BOZIC Pasko,CRO,TROITINO AMOEDO Sergio,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,TPE,CHEN Liang-Hsi,0:2,PTF,HARBAR Artem,UKR,HARBAR Artem,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,RUS,AIUKAEV Rafail,1:2,PTF,PARK Woo Hyeok,KOR,PARK Woo Hyeok,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,CAN,STEWART Jordan,0:2,PTF,YAZDANI Mohammad Hossein,IRI,YAZDANI Mohammad Hossein,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,TUN,IFAOUI Motaz,2:1,PTF,BAILEY Kelen,HUN,IFAOUI Motaz,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,USA,RODRIGUEZ Michael C.,0:2,PTF,CUNNINGHAM Caden,GBR,CUNNINGHAM Caden,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,ESP,GARCIA MARTINEZ Ivan,2:0,PTF,GAFAROV Eltaj,AZE,GARCIA MARTINEZ Ivan,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,SLO,DIVKOVIC Patrik,1:2,PTF,SANSORES Carlos,MEX,SANSORES Carlos,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,POL,PIATKOWSKI Szymon,1:2,PTF,MOLIN Mattia,ITA,MOLIN Mattia,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,MAR,ZAKARIA Khouyyar,0:2,PTF,HEALY Jonathan,USA,HEALY Jonathan,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,RUS,LARIN Vladislav,2:0,PTF,NUCI Erol,BIH,LARIN Vladislav,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R32,Men +80kg,BLR,PLONIS Artsiom,2:1,PTF,ESSAM MOHIUDDIN Abdullah,EGY,PLONIS Artsiom,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
F,Women -49kg,TPE,LIU You-Yun,0:2,PTF,FU Xiaolu,CHN,FU Xiaolu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Women -49kg,TPE,LIU You-Yun,2:0,PTF,KUMARTAYEVA Aidana,KAZ,LIU You-Yun,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
SF,Women -49kg,CHN,MA Jingyue,1:2,PTF,FU Xiaolu,CHN,FU Xiaolu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Women -49kg,CHN,MA Jingyue,2:1,PTF,KIM Hyang-Gi,KOR,MA Jingyue,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Women -49kg,FRA,FOFANA Mah Teninba,0:2,PTF,KUMARTAYEVA Aidana,KAZ,KUMARTAYEVA Aidana,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Women -49kg,CHN,FU Xiaolu,2:0,PTF,BEKULOVA Milana,RUS,FU Xiaolu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
QF,Women -49kg,TPE,LIU You-Yun,2:0,PTF,LEE Yumin,KOR,LIU You-Yun,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,KAZ,KUMARTAYEVA Aidana,2:0,PTF,BASSETT Jaycee,WT,KUMARTAYEVA Aidana,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,HUN,SALIM Kamilah,1:2,PTF,KIM Hyang-Gi,KOR,KIM Hyang-Gi,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,TPE,LIU You-Yun,2:0,PTF,SILVA NAZARIO Julia,BRA,LIU You-Yun,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,CHN,MA Jingyue,2:1,PTF,CEREZO IGLESIAS Adriana,ESP,MA Jingyue,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,FRA,FOFANA Mah Teninba,2:1,PTF,ANGELOVA Alisa,RUS,FOFANA Mah Teninba,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,CHN,FU Xiaolu,2:0,PTF,KHATTAB Jana,EGY,FU Xiaolu,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
R16,Women -49kg,RUS,MEDVEDEVA Galina,0:2,PTF,BEKULOVA Milana,RUS,BEKULOVA Milana,Muju Taekwondowon 2026 World Taekwondo Grand Prix Series,2026-09-05,2026-09-07
